de	zh	fr	hi	it	ja	pt	ru	es
erdbeere - strawberry	草莓 - 草莓	fraise - fraise	स्ट्रॉबेरी - स्ट्रॉबेरी	fragola - fragola	イチゴ - イチゴ	morango - morango	клубника - клубника	fresa - fresa
kirsche - cherry	樱桃 - 樱桃	cerise - cerise	चेरी - चेरी	ciliegia - ciliegia	チェリー - チェリー	cereja - cereja	вишня - вишня	cereza - cereza
pfirsich - peach	桃子 - 桃子	pêche - pêche	आड़ू - आड़ू	pesca - pesca	桃 - 桃	pêssego - pêssego	персик - персик	durazno - durazno
pflaume - plum	梅子-李子	prune - prune	बेर - बेर	prugna - prugna	プラム - プラム	ameixa - ameixa	слива - слива	ciruela - ciruela
aprikose - apricot	杏子——杏子	abricot - abricot	खुबानी - खूबानी	albicocca - albicocca	アプリコット - アプリコット	damasco - damasco	абрикос - абрикос	albaricoque - albaricoque
melone - melon	甜瓜-甜瓜	melon - melon	खरबूजा - खरबूजा	melone - melone	メロン - メロン	melão - melão	дыня - дыня	melón - melón
ananas - pineapple	菠萝 - 菠萝	ananas - ananas	अनानास - अनानास	ananas - ananas	パイナップル - パイナップル	abacaxi - abacaxi	ананас - ананас	piña - piña
fleisch - meat	肉肉	viande - viande	मांस - मांस	carne - carne	肉 - 肉	carne - carne	мясо - мясо	carne - carne
rindfleisch - beef	牛肉 - 牛肉	boeuf - boeuf	गाय का मांस - गाय का मांस	manzo - manzo	牛肉 - 牛肉	carne bovina - carne bovina	говядина - говядина	carne de res - carne de res
schweinefleisch - pork	猪肉 - 猪肉	porc - porc	सूअर का मांस - सूअर का मांस	maiale - maiale	豚肉 - 豚肉	carne de porco - carne de porco	свинина - свинина	cerdo - cerdo
hähnchen - chicken	鸡 - 鸡	poulet - poulet	चिकन - चिकन	pollo - pollo	チキン - チキン	frango - frango	курица - курица	pollo - pollo
lamm - lamb	羊肉 - 羊肉	agneau - agneau	मेमना - मेमना	agnello - agnello	子羊 - 子羊	cordeiro - cordeiro	баранина - баранина	cordero - cordero
wurst - sausage	香肠 - 香肠	saucisse - saucisse	सॉसेज - सॉसेज	salsiccia - salsiccia	ソーセージ - ソーセージ	salsicha - salsicha	колбаса - колбаса	salchicha - salchicha
schinken - ham	火腿-火腿	jambon - jambon	हैम - हैम	prosciutto - prosciutto	ハム - ハム	presunto - presunto	ветчина - ветчина	jamón - jamón
speck - bacon	培根——培根	bacon - bacon	बेकन - बेकन	pancetta - pancetta	ベーコン - ベーコン	bacon - bacon	бекон - бекон	tocino - tocino
ei - egg	蛋蛋	oeuf - oeuf	अंडा - अंडा	uovo - uovo	卵 - 卵	ovo - ovo	яйцо - яйцо	huevo - huevo
käse - cheese	奶酪 - 奶酪	fromage - fromage	पनीर - पनीर	formaggio - formaggio	チーズ - チーズ	queijo - queijo	сыр - сыр	queso - queso
butter - butter	黄油 - 黄油	beurre - beurre	मक्खन - मक्खन	burro - burro	バター - バター	manteiga - manteiga	сливочное масло - сливочное масло	mantequilla - mantequilla
milch - milk	牛奶-牛奶	lait - lait	दूध - दूध	latte - latte	牛乳 - 牛乳	leite - leite	молоко - молоко	leche - leche
joghurt - yogurt	酸奶-酸奶	yaourt - yaourt	दही - दही	yogurt - yogurt	ヨーグルト - ヨーグルト	iogurte - iogurte	йогурт - йогурт	yogur - yogur
sahne - cream	奶油 - 奶油	crème - crème	क्रीम - क्रीम	crema - crema	クリーム - クリーム	creme - creme	крем - крем	crema - crema
öl - oil	油-油	huile - huile	तेल - तेल	olio - olio	オイル - オイル	óleo - óleo	масло - масло	aceite - aceite
essig - vinegar	醋——醋	vinaigre - vinaigre	सिरका - सिरका	aceto - aceto	酢 - 酢	vinagre - vinagre	уксус - уксус	vinagre - vinagre
salz - salt	盐——盐	sel - sel	नमक - नमक	sale - sale	塩 - 塩	sal - sal	соль - соль	sal - sal
pfeffer - pepper	胡椒 - 胡椒	poivre - poivre	काली मिर्च - काली मिर्च	pepe - pepe	コショウ - コショウ	pimenta - pimenta	перец - перец	pimienta - pimienta
zucker - sugar	糖-糖	sucre - sucre	चीनी - चीनी	zucchero - zucchero	砂糖 - 砂糖	açúcar - açúcar	сахар - сахар	azúcar - azúcar
honig - honey	蜂蜜-蜂蜜	chérie - chérie	शहद - शहद	miele - tesoro	蜂蜜 - 蜂蜜	querido - querido	мед - мед	miel - cariño
marmelade - jam	果酱——果酱	confiture - confiture	जाम जाम	marmellata - marmellata	ジャム、ジャム	geléia - geléia	варенье - варенье	mermelada - mermelada
suppe - soup	汤汤	soupe - soupe	सूप - सूप	zuppa - zuppa	スープ - スープ	sopa - sopa	суп - суп	sopa - sopa
soße - sauce	酱-酱	sauce - sauce	सॉस - सॉस	salsa - salsa	ソース - ソース	molho - molho	соус - соус	salsa - salsa
gewürz - spice	香料 - 香料	épice - épice	मसाला - मसाला	spezia - spezia	スパイス - スパイス	tempero - tempero	специя - специя	especia - especia
getränk - beverage	饮料 饮料	boisson - boisson	पेय - पेय	bere - bevanda	飲み物 - 飲み物	bebida - bebida	пить - напиток	beber - bebida
wasser - water	水-水	eau - eau	पानी पानी	acqua - acqua	水 - 水	água - água	вода - вода	agua - agua
saft - juice	果汁-果汁	jus - jus	रस - रस	succo - succo	ジュース - ジュース	suco - suco	сок - сок	jugo - jugo
limonade - lemonade	柠檬水 - 柠檬水	limonade - limonade	नींबू पानी - नींबू पानी	limonata - limonata	レモネード - レモネード	limonada - limonada	лимонад - лимонад	limonada - limonada
tee - tea	茶 - 茶	thé - thé	चाय - चाय	tè - tè	お茶 - お茶	chá - chá	чай - чай	té - té
kaffee - coffee	咖啡 - 咖啡	café - café	कॉफ़ी - कॉफ़ी	caffè - caffè	コーヒー - コーヒー	café - café	кофе - кофе	cafe - cafe
kakao - cocoa	可可 - 可可	cacao - cacao	कोको - कोको	cacao - cacao	ココア - ココア	cacau - cacau	какао - какао	cacao - cacao
bier - beer	啤酒 - 啤酒	bière - bière	बियर - बियर	birra - birra	ビール - ビール	cerveja - cerveja	пиво - пиво	cerveza - cerveza
wein - wine	酒 - 酒	vin - vin	शराब - शराब	vino - vino	ワイン - ワイン	vinho - vinho	вино - вино	vino - vino
schnaps - schnapps	杜松子酒 - 杜松子酒	schnaps - schnaps	श्नैप्स - श्नैप्स	grappa - grappa	シュナップス - シュナップス	aguardente - aguardente	шнапс - шнапс	aguardiente - aguardiente
wodka - vodka	伏特加 - 伏特加	vodka - vodka	वोदका - वोदका	vodka - vodka	ウォッカ - ウォッカ	vodca - vodca	водка - водка	vodka - vodka
champagner - champagne	香槟 - 香槟	champagne - champagne	शैम्पेन - शैम्पेन	champagne - champagne	シャンパン - シャンパン	champanhe - champanhe	шампанское - шампанское	champán - champán
glas - glass	玻璃 - 玻璃	verre - verre	कांच - कांच	vetro - vetro	ガラス - ガラス	vidro - vidro	стекло - стекло	vidrio - vidrio
tasse - cup	杯-杯	tasse - tasse	कप - कप	tazza - tazza	カップ - カップ	xícara - xícara	чашка - чашка	taza - taza
flasche - bottle	瓶瓶	bouteille - bouteille	बोतल - बोतल	bottiglia - bottiglia	ボトル - ボトル	garrafa - garrafa	бутылка - бутылка	botella - botella
dose - can	可以 - 可以	peut - peut	कर सकते हैं	può - può	できる - できる	pode - pode	может - может	puede - puede
teller - plate	板-板	assiette - assiette	थाली - थाली	piatto - piatto	プレート - プレート	placa - placa	тарелка - тарелка	plato - plato
schale - bowl	碗碗	bol - bol	कटोरा - कटोरा	ciotola - ciotola	ボウル - ボウル	tigela - tigela	чаша - чаша	cuenco - cuenco
löffel - spoon	勺子勺子	cuillère - cuillère	चम्मच - चम्मच	cucchiaio - cucchiaio	スプーン - スプーン	colher - colher	ложка - ложка	cuchara - cuchara
gabel - fork	叉叉	fourchette - fourchette	कांटा - कांटा	forchetta - forchetta	フォーク - フォーク	garfo - garfo	вилка - вилка	tenedor - tenedor
messer - knife	刀刀	couteau - couteau	चाकू - चाकू	coltello - coltello	ナイフ - ナイフ	faca - faca	нож - нож	cuchillo - cuchillo
topf - pot	锅锅	pot - pot	मटका - मटका	pentola - pentola	ポット - ポット	pote - pote	горшок - горшок	olla - olla
pfanne - pan	盘盘	poêle - poêle	पैन पैन	padella - padella	パン、パン	panela - panela	сковорода - сковорода	sartén - sartén
ofen - oven	烤箱 - 烤箱	four - four	ओवन - ओवन	forno - forno	オーブン - オーブン	forno - forno	духовка - духовка	horno - horno
herd - stove	炉灶 - 炉灶	poêle - poêle	चूल्हा - चूल्हा	stufa - stufa	ストーブ - ストーブ	fogão - fogão	печка - печка	estufa - estufa
kühlschrank - refrigerator	冰箱 - 冰箱	réfrigérateur - réfrigérateur	रेफ्रिजरेटर - रेफ्रिजरेटर	frigorifero - frigorifero	冷蔵庫 - 冷蔵庫	geladeira - geladeira	холодильник - холодильник	refrigerador - refrigerador
gefrierschrank - freezer	冷冻室 - 冷冻室	congélateur - congélateur	फ्रीजर - फ्रीजर	congelatore - congelatore	冷凍庫 - 冷凍庫	congelador - congelador	морозильник - морозильник	congelador - congelador
spülmaschine - dishwasher	洗碗机 - 洗碗机	lave-vaisselle - lave-vaisselle	डिशवॉशर - डिशवॉशर	lavastoviglie - lavastoviglie	食器洗い機 - 食器洗い機	máquina de lavar louça - máquina de lavar louça	посудомоечная машина - посудомоечная машина	lavavajillas - lavavajillas
waschmaschine - washing machine	洗衣机 - 洗衣机	machine à laver - machine à laver	वॉशिंग मशीन - वॉशिंग मशीन	lavatrice - lavatrice	洗濯機 - 洗濯機	máquina de lavar - máquina de lavar	стиральная машина - стиральная машина	lavadora - lavadora
trockner - dryer	烘干机-烘干机	sèche-linge - sèche-linge	ड्रायर - ड्रायर	asciugatrice - asciugatrice	乾燥機 - 乾燥機	secador - secador	сушилка - сушилка	secadora - secadora
bügeleisen - iron	铁-铁	fer - fer	लोहा - लोहा	ferro - ferro	鉄 - 鉄	ferro - ferro	железо - железо	hierro - hierro
staubsauger - vacuum cleaner	吸尘器 - 吸尘器	aspirateur - aspirateur	वैक्यूम क्लीनर - वैक्यूम क्लीनर	aspirapolvere - aspirapolvere	掃除機 - 掃除機	aspirador de pó - aspirador de pó	пылесос - пылесос	aspiradora - aspiradora
